time,value
0,219
249,219
500,218
750,218
1001,219
1252,218
1502,218
1753,218
2002,219
2253,218
2504,218
2754,218
3005,218
3255,218
3506,218
3757,217
4006,217
4257,218
4508,218
4758,217
5009,218
5259,217
5510,217
5761,217
6010,217
6261,218
6512,218
6762,218
7013,217
7263,217
7514,217
7764,218
8014,217
8265,218
8515,216
8766,217
9017,217
9267,217
9518,216
9768,217
10018,217
10269,217
10520,216
10770,217
11021,217
11271,216
11522,216
11772,216
12022,217
12273,216
12524,217
12774,216
13025,217
13276,216
13526,216
13776,216
14027,216
14277,216
14528,216
14779,216
15029,216
15280,216
15531,216
15780,216
16031,216
16282,216
16532,216
16783,216
17034,216
17284,216
17534,216
17785,216
18035,215
18286,216
18537,215
18787,216
19038,216
19289,216
19538,215
19789,216
20040,215
20290,216
20541,215
20792,216
21042,215
21293,215
21543,215
21793,215
22044,216
22295,215
22545,216
22796,215
23047,215
23297,215
23547,215
23797,215
24048,215
24299,215
24549,214
24800,214
25051,214
25300,217
25551,215
25802,213
26052,216
26303,215
26554,214
26804,215
27055,214
27305,214
27555,214
27806,215
28057,214
28307,215
28558,214
28809,215
29059,215
29309,215
29560,214
29810,214
30061,215
30312,215
30562,214
30813,214
31064,215
31313,214
31564,214
31815,214
32065,215
32316,214
32567,214
32817,215
33068,213
33318,214
33568,214
33819,214
34070,214
34320,214
34571,214
34822,213
35072,214
35322,214
35573,215
35823,214
36074,214
36324,214
36575,214
36826,213
37075,214
37326,214
37577,214
37827,213
38078,214
38329,213
38579,213
38830,214
39080,213
39330,213
39581,214
39832,213
40082,213
40333,213
40584,213
40834,214
41084,213
41335,213
41585,212
41836,213
42087,213
42337,213
42588,213
42839,213
43088,213
43339,214
43590,213
43840,213
44091,212
44342,213
44592,212
44843,214
45093,213
45343,213
45594,212
45845,212
46095,212
46346,213
46597,212
46846,212
47097,212
47348,212
47598,213
47849,212
48099,213
48350,212
48601,212
48850,212
49101,211
49352,212
49602,213
49853,211
