time,value
0,130
249,130
500,129
750,130
1001,129
1252,129
1502,131
1753,129
2002,129
2253,129
2504,129
2754,129
3005,130
3255,129
3506,129
3757,129
4006,129
4257,129
4508,129
4758,130
5009,130
5259,129
5510,130
5761,129
6010,129
6261,129
6512,130
6762,129
7013,130
7263,129
7514,129
7764,129
8014,129
8265,129
8515,129
8766,130
9017,129
9267,130
9518,130
9768,130
10018,128
10269,129
10519,128
10770,129
11021,129
11271,129
11522,129
11772,129
12022,129
12273,129
12524,129
12774,129
13025,129
13276,129
13526,129
13776,129
14027,129
14277,129
14528,129
14779,129
15029,129
15280,128
15531,129
15780,129
16031,130
16282,129
16532,130
16783,129
17034,129
17284,129
17534,129
17785,128
18035,129
18286,129
18537,130
18787,129
19038,129
19289,130
19538,130
19789,129
20040,129
20290,130
20541,129
20792,129
21042,129
21293,129
21543,130
21793,128
22044,129
22295,130
22545,129
22796,129
23047,129
23297,130
23547,129
23798,130
24048,128
24299,129
24549,129
24800,129
25051,129
25300,130
25551,128
25802,129
26052,129
26303,129
26554,129
26804,129
27055,128
27305,129
27555,129
27806,129
28057,128
28307,129
28558,129
28809,129
29059,129
29309,128
29560,129
29810,128
30061,130
30312,129
30562,129
30813,129
31064,129
31313,129
31564,129
31815,128
32065,129
32316,130
32567,129
32817,129
33068,129
33318,129
33568,129
33819,127
34070,130
34320,129
34571,129
34822,129
35072,129
35322,128
35573,130
35823,130
36074,129
36325,129
36575,128
36826,129
37076,128
37326,129
37577,128
37827,130
38078,129
38329,130
38579,128
38830,129
39080,129
39330,129
39581,129
39832,130
40082,129
40333,130
40584,129
40834,129
41084,128
41335,130
41585,128
41836,129
42087,129
42337,129
42588,129
42839,129
43088,128
43339,128
43590,129
43840,129
44091,130
44342,129
44592,128
44843,128
45093,129
45343,129
45594,130
45845,128
46095,129
46346,129
46597,129
46846,129
47097,130
47348,128
47598,130
47849,128
48100,129
48350,129
48601,129
48851,129
49101,129
49352,129
49603,129
49853,129
